Title,Author,Price,List Price,Discount Amount,Limited Stock,Discount,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,Subgenres,Synopsis,URL
Charlie Cook's Favourite Book,Julia Donaldson,720.0,720.0,0.0,True,0.0,Kids And Teens,24.0,339,9781509830428,English,"['Kids And Teens', 'Arts And Photography']","['Ages 3 to 5', 'Picture Books']","Celebrate the joy of books with the entertaining Charlie Cook's Favourite Book, from the unparalleled picture book partnership of Julia Donaldson and Axel Scheffler, creators of The Gruffalo. Charlie Cook is reading a book about a pirate captain, who is reading a book about Goldilocks, who is reading about a knight, who is reading about a frog . . . From kings and queens to aliens and ghosts, there's something for everyone in Charlie's amazing book of adventure! This handy board book format is perfect for younger readers. It features the classic story with a stunning redesigned cover and beautiful finish, making it a must-have for even the smallest Donaldson and Scheffler fans! Also available in board book format and with striking redesigned covers are: The Gruffalo, The Gruffalo's Child, Room on the Broom, The Snail and the Whale, The Smartest Giant in Town, Monkey Puzzle and A Squash and a Squeeze.",https://booksmandala.com/books/charlie-cooks-favourite-book-12922
The Architecture of Happiness,Alain De Botton,1118.0,1118.0,0.0,True,0.0,Arts And Photography,280.0,200,9780241970058,English,"['Arts And Photography', 'Spirituality And Philosophy']","['Architecture', 'Philosophy']","Rooted in the idea that architecture and interior design have the power to influence how we feel and that we are, for better and for worse, different people in different buildings, this book suggests how we might learn to build better, more attractive dwellings in which we would stand a higher chance of happiness.",https://booksmandala.com/books/the-architecture-of-happiness-69827
The Rhyming Rabbit,"Lydia Monks, Julia Donaldson",720.0,720.0,0.0,True,0.0,Kids And Teens,25.0,30,9781509862726,English,"['Kids And Teens', 'Arts And Photography']","['Ages 3 to 5', 'Picture Books']","The Rhyming Rabbit loves to make up entertaining poems, inspired by everything he sees, but the other rabbits don't appreciate his talent for rhyme. Sad and lonely, the Rhyming Rabbit sets off one starry night all on his own - will he ever find someone to share his poems with?The Rhyming Rabbit is a clever rhyming adventure from the stellar picture book partnership of Julia Donaldson and Lydia Monks, creators of What the Ladybird Heard. With brilliant rhyming verse, bright and distinctive illustrations and glitter on every page, this story is a delight to read aloud.Enjoy all the stories from Julia Donaldson and Lydia Monks: Sharing a Shell, The Princess and the Wizard, The Rhyming Rabbit, The Singing Mermaid, Sugarlump and the Unicorn, Princess Mirror-Belle and the Dragon Pox, What the Ladybird Heard, What the Ladybird Heard Next and What the Ladybird Heard on Holiday.",https://booksmandala.com/books/the-rhyming-rabbit-50540
My First 365 Coloring Book,Wonder House,558.0,558.0,0.0,True,0.0,Kids And Teens,272.0,700,9789390183005,English,"['Kids And Teens', 'Arts And Photography']","['Ages 3 to 5', 'Ages 6 to 8', 'Coloring Books']","This is a wonderful coloring book that introduces children to the beautiful world of colors. Packed with 365 bold images, this coloring book enhances the child's creativity and improves their motor skills. Different concepts like plants, animals, princesses, etc., are introduced to the kids through the varied images. The book has an attractive cover that grabs the attention of the child and keeps them glued to the book for hours.",https://booksmandala.com/books/my-first-365-coloring-book-70111
The Hipster Colouring Book,Charlotte Farmer,958.0,958.0,0.0,True,0.0,Arts And Photography,80.0,335,9781781572436,English,['Arts And Photography'],['Coloring Books'],"We all know who the hipsters are - or do we? Discover the hip people of this world in all their habitats: the coffee shop, the flea market, the queue for an indie film show. Find out what they keep in their vintage bag, how they like their shoes, how they get to work, and what they get up to at the weekend. Enjoy the hairstyles, the pets, the tattoos and the bicycles, and discover what they really keep in their store cupboards. In this exquisitely drawn collection of 37 illustrations to colour in, (hip) illustrator Charlotte Farmer leaves no coffee pot unpercolated in the hipster domain. Drawing on her keen observation of hipster settlements, she has charmingly created the book every hip person will pretend not to want, and you never know, as you colour in these beautiful drawings, you too may find your inner hipster.",https://booksmandala.com/books/the-hipster-colouring-book-4353
Coloring Mandalas 4,Susanne F. Fincher,640.0,640.0,0.0,False,0.0,Arts And Photography,104.0,415,9781590309032,English,['Arts And Photography'],"['Coloring Books', 'Art']","Mandalas are circular designs containing lines, patterns, and colors that have been used in personal devotions throughout history and often symbolize a desire to mark or set aside a special time or place. Coloring mandalas is a creative activity that can help us feel connected to ourselves and to the world. In her latest collection of mandalas for coloring, Susanne Fincher focuses on using mandalas as a way to claim our own truths and to find our way in the world. The original designs she presents are associated with being and doing. The “being” mandalas represent a sense of balance, integration, and self-realization. They can be reminiscent of the designs of heraldic shields carried as the emblem of personal power. The “doing” mandalas represent action, energy, and functioning in the world. These mandalas are associated with creativity, ingenuity, teamwork, and productivity. Coloring the mandalas in this book allows you to interact with forms that evoke both steady, centered being, and active, skillful doing.Coloring Mandalas 4 provides a creative and insightful path toward self-knowledge.",https://booksmandala.com/books/coloring-mandalas-4-3708
Sacred Love,Shivaji Das,4000.0,4000.0,0.0,False,0.0,Arts And Photography,168.0,1320,9788183631372,English,['Arts And Photography'],['Picture Books'],"When one looks up at the roof struts of temple in the Kathmandu valley, a whimsical realm of amorous beings appear. Unlike the erotic art of the famous Khajuraho Temples of India, these explicit carvings in Nepal are relatively crude, made more with humour than dedication. Elephants turn missionary, beasts love men, and every taboo is violated. Time has forgotten the real reason for their existence although tour guides proclaim confidently that they serve to protect the temples form the goddess of lightning, a shy virgin. Through extensive fieldwork with craftsmen, sociologist, historians, priests and even Maoist rationalists, the author explores the reasons behind their existence, the enduring beliefs of the culture that gave birth to them, the principles of Nepalese temple architecture, the lives of the craftsmen who carve these images, the attitude of Nepalese society towards them. This book also presents an extensive collection of captivating images of the erotic carvings from all around Nepal and comparable art in other cultures.",https://booksmandala.com/books/sacred-love-43571
Coloring Mandalas 3,Susanne F. Fincher,640.0,640.0,0.0,False,0.0,Arts And Photography,128.0,530,9781590303023,English,['Arts And Photography'],"['Coloring Books', 'Art']","Coloring the circular designs known as mandalas is a relaxing, meditative activity enjoyed by adults and children alike. The mandalas in this book are specially designed to provide a creative encounter with the Divine as a feminine presence. The archetypal imagery of the circle—appearing in the form of organic shapes of nature, the curves of the female body, the womb and childbirth rituals, the circular turning of cosmic rhythms, or geometric designs conveying the primal energy of the Goddess—celebrates the full range of the sacred feminine, from gentle and motherly to fierce and challenging.An introductory essay traces the stream of the sacred feminine from prehistoric sources through modern spiritual traditions and the work of contemporary scholars of psychology and religion. Mandalas for coloring include designs based on ancient European artifacts, traditional Hindu yantras, and contemporary art. Full-color illustrations provide inspiration, and instructions for drawing your own geometric mandalas add to the creative possibilities.Coloring Mandalas 3 will appeal particularly to individuals and groups who wish to explore spirituality as a pathway to deeper meaning and personal growth.",https://booksmandala.com/books/coloring-mandalas-3-3713
Taylor Swift: A Little Golden Book Biography,Wendy Loggia,478.0,478.0,0.0,True,0.0,Arts And Photography,25.0,150,9780593566718,English,"['Arts And Photography', 'History Biography And Social Science', 'Kids And Teens']","['Music', 'Biography', 'Childrens']","Help your little one dream big with a Little Golden Book biography about Taylor Swift, the Grammy Award–winning and multiplatinum artist. Little Golden Book biographies are the perfect introduction to nonfiction for preschoolers! This Little Golden Book about Taylor Swift--the singer and songwriter whose distinctive talent for storytelling has made her one of the biggest superstars in both country and pop music--is an inspiring read-aloud for young children as well as their Swiftie parents! Look for more Little Golden Book biographies: • Willie Nelson • Beyoncé • Dolly Parton • Tony Bennett",https://booksmandala.com/books/taylor-swift-a-little-golden-book-biography-69864
The Serpent's Shadow,Rick Riordan,638.0,638.0,0.0,True,0.0,Fiction And Literature,416.0,310,9780141335704,English,"['Fiction And Literature', 'Arts And Photography']","['Action and Adventure', 'Fashion', 'Fantasy', 'Romance', 'Young Adult']","Carter and Sadie Kane, descendants of the magical House of Life, are in pretty big trouble. Despite their bravest efforts, Apophis, the giant snake of Chaos, is still threatening to plunge the world into eternal darkness. Now the Kanes must do something no magician has ever managed - defeat Apophis himself. No pressure there then. Battling against the forces of Chaos, their only hope is an ancient spell - but the magic has been lost for a millennia. Will they find the serpent's shadow, or will they be led to their deaths in the depths of the Underworld? Don't miss any of the explosive action in the final thrilling instalment of the Kane Chronicles Trilogy.",https://booksmandala.com/books/the-serpents-shadow-17673
Just Kids,Patti Smith,1118.0,1118.0,0.0,True,0.0,Arts And Photography,321.0,569,9780747568766,English,"['Arts And Photography', 'Fiction And Literature', 'History Biography And Social Science']","['Music', 'Art', 'Poetry and Prose', 'Biography', 'Autobiography', 'Memoir']","A prelude to fame, Just Kids recounts the friendship of two young artists--Patti Smith and Robert Mapplethorpe - whose passion fueled their lifelong pursuit of art. In 1967, a chance meeting between two young people led to a romance and a lifelong friendship that would carry each to international success never dreamed of. The backdrop is Brooklyn, Chelsea Hotel, Max's Kansas City, Scribner's Bookstore, Coney Island, Warhol's Factory and the whole city resplendent. Among their friends, literary lights, musicians and artists such as Harry Smith, Bobby Neuwirth, Allen Ginsberg, Sandy Daley, Sam Shepherd, William Burroughs, etc. It was a heightened time politically and culturally; the art and music worlds exploding and colliding. In the midst of all this two kids made a pact to always care for one another. Scrappy, romantic, committed to making art, they prodded and provided each other with faith and confidence during the hungry years--the days of cous-cous and lettuce soup. Just Kids begins as a love story and ends as an elegy. Beautifully written, this is a profound portrait of two young artists, often hungry, sated only by art and experience. And an unforgettable portrait of New York, her rich and poor, hustlers and hellions, those who made it and those whose memory lingers near.",https://booksmandala.com/books/just-kids-73475
City Adult Colouring Book,Hello Friend Books,398.0,398.0,0.0,True,0.0,Arts And Photography,24.0,290,9789355414724,English,['Arts And Photography'],['Coloring Books'],"Embark on a calming urban retreat with the City Adult Colouring Pad Book. Immerse yourself in a metropolis of mandalas, intricately designed to capture the essence of city life. From skyscrapers to bustling streets, each page offers a canvas for creative expression and relaxation. Dive into the therapeutic art of coloring, letting go of stress as you fill the urban landscapes with vibrant hues. Whether you're a seasoned artist or a beginner, this coloring pad provides a serene escape from the hustle and bustle of everyday life. Let your imagination wander through the city streets and find solace in the mindful practice of mandala coloring.",https://booksmandala.com/books/city-adult-colouring-book-73047
Animal Kingdom Colouring Book For Adults,Om Books Editorial Team,472.0,472.0,0.0,True,0.0,Arts And Photography,64.0,310,9789385609749,English,['Arts And Photography'],['Coloring Books'],"Animal kingdom are you a wildlife enthusiast? Do you like pets? If your answer is yes, then this coloring book is a gift you'd love to own. Pick your favorite pen-and-ink animal illustration and bring it to life with color. The book features designs and patterns that are simple, delicate and detailed at the same time. Unwind, rejuvenate and enjoy!.",https://booksmandala.com/books/animal-kingdom-colouring-book-for-adults-17307
The Classical Music Book,Dorling Kindersley Publishing Staff,2078.0,2078.0,0.0,True,0.0,Arts And Photography,352.0,1160,9780241301975,English,['Arts And Photography'],['Music'],"From Mozart to Mendelssohn, this comprehensive guide to classical music history and classical music biography is the perfect latest addition to the bestselling Big Ideasseries. Easy to understand and clear to follow, this history of classical music explores and explains music theory and the impact of seminal pieces, while also providing fascinating stories about the lives of crucial composers and performers. The Classical Music Bookanalyses over 90 works by famous composers from Thomas Tallis in the early period to baroque masters like Bach and Handel to the classical genius of Beethoven and Wagner and beyond to the modern day in order to explore the key ideas underpinning the world's greatest classical compositions and musical traditions, and define their importance to the musical canon, placing them into their wider social, cultural, and historical context. Regardless of whether you are relatively new to the subject and want to learn or if you are a classical music aficionado, there is plenty to discover inThe Classical Music Book.",https://booksmandala.com/books/the-classical-music-book-15732
Gigi and Ojiji,Melissa Iwai,318.0,318.0,0.0,True,0.0,Arts And Photography,32.0,80,9780063208056,English,"['Arts And Photography', 'Kids And Teens']","['Picture Books', 'Ages 3 to 5', 'Ages 6 to 8', 'Childrens']","Gigi, a biracial six-year-old girl, learns about her Japanese culture from her grandfather when he comes to visit. Perfect for social emotional learning. Gigi can't wait for her Ojiji--Japanese grandpa--to move in. Gigi plans lots of things to do with him, like playing tag, reading books, and teaching Roscoe, the family dog, new tricks. But her plans don't work out quite the way she'd hoped. And her grandpa doesn't seem to like Roscoe. Will Gigi find a way to connect with her Ojiji? This exciting new I Can Read series is brought to you by author-illustrator Melissa Iwai, whose popular books include Soup Day and Dumplings for Lili. Gigi and Ojiji is a Level Three I Can Read book. Level 3 includes many fun subjects kids love to read about on their own. Themes include friendship, adventure, historical fiction, and science. Level 3 books are written for early independent readers. They include some challenging words and more complex themes and stories. The story contains several Japanese words and a glossary of definitions and pronunciations.",https://booksmandala.com/books/gigi-and-ojiji-70017
Absolutely on Music,"Haruki Murakami, Seiji Ozawa",958.0,958.0,0.0,True,0.0,Arts And Photography,272.0,260,9781784700140,English,"['Arts And Photography', 'History Biography And Social Science']","['Music', 'Biography', 'Autobiography', 'Memoir']","An intimate conversation about music and creativity, between the internationally bestselling writer and a world-class conductor. My only purpose in this book was for me, as a music lover, to have a discussion of music with the musician Seiji Ozawa that was as open and honest as possible. I simply wanted to bring out the ways that each of us (though on vastly different levels) is dedicated to music. Haruki Murakami's passion for music runs deep. Before turning his hand to writing, he ran a jazz club in Tokyo, and the aesthetic and emotional power of music permeates every one of his much-loved books. Now, in Absolutely on Music, Murakami fulfills a personal dream, sitting down with his friend, acclaimed conductor Seiji Ozawa, to talk about their shared interest. Transcribed from lengthy conversations about the nature of music and writing, here they discuss everything from Brahms to Beethoven, from Leonard Bernstein to Glenn Gould, from record collecting to pop-up orchestras, and much more. Ultimately this book gives readers an unprecedented glimpse into the minds of two maestros.",https://booksmandala.com/books/absolutely-on-music-18028
Art of Mindfulness,Emma Farrarons,958.0,958.0,0.0,True,0.0,Arts And Photography,112.0,200,9780752265940,English,"['Arts And Photography', 'Self Improvement And Relationships']","['Coloring Books', 'Art', 'Self Help', 'Mindfulness']","""From the bestselling author of The Mindfulness Colouring Book comes a creative art therapy book to soothe anxiety and eliminate stress. In her trademark chic and sophisticated style, Emma Farrarons offers beautiful templates for you to colour and complete with your own hands. With drawings to imitate in perfect symmetry, patterns to create, lettering to copy and pages of guided sketching and doodling, Art of Mindfulness contains everything you can do with a pen and paper to achieve a creative mindful moment during a busy day. Themed around Emma’s favourite peaceful Scandinavian villages, you’ll find curious creatures, majestic plants, striking architecture and enchanting patterns. Making the most of art-making as a mindful activity, Art of Mindfulness is your perfect antidote to the stresses of modern living. So pick up a pen and lose yourself in this pocket-sized book of peace and calm.""",https://booksmandala.com/books/art-of-mindfulness-13430
Colouring For Inner Peace : A Mandala Colouring Book,Riya Chawla,560.0,560.0,0.0,True,0.0,Arts And Photography,51.0,250,9788170264712,English,['Arts And Photography'],['Coloring Books'],"Colouring Mandalas is a colouring activity that can help us feel calm and in touch with ourselves and the world. The book is a collection of fifty two original designs created by the Author with a view to use mandalas for mindfulness and bring out the creative art of colouring. In Tibetan Buddhism, Mandalas are a way to bring inner calm and to find our way in the world. The collection of Mandalas chosen will bring out creative skills of the reader, ultimately leading to better concentration, positive thinking and better understanding of ones own self. Colouring Mandalas provides a creative and insightful path towards self-knowledge and a feeling of inner calm.",https://booksmandala.com/books/colouring-for-inner-peace-a-mandala-colouring-book-8120
Libby Loves Science: Mix and Measure,Kimberly Derting,318.0,318.0,0.0,True,0.0,Kids And Teens,32.0,80,9780062946119,English,"['Kids And Teens', 'Arts And Photography']","['Ages 3 to 5', 'Ages 6 to 8', 'Childrens', 'Picture Books']","Libby loves science! In this STEM-themed Level 3 I Can Read! title, Libby and her friend Rosa learn about mixing and measuring to bake a delicious treat for a puppy party. A great choice for aspiring scientists, emerging readers, and fans of Andrea Beaty’s Ada Twist, Scientist. Includes activities, a glossary, and a cupcake recipe.

Libby loves science—and experimenting! In this Level 3 I Can Read! title, Libby hosts a puppy party for her friends and their dogs. With the help of her friend Rosa and little brother, Libby decorates, stuffs goody bags and bakes delicious cupcakes. But when they realize they’ve forgotten an important ingredient, they use science to solve the problem—just in the nick of time.",https://booksmandala.com/books/libby-loves-science-mix-and-measure-70018
Fancy Nancy Every Day Is Earth Day,Jane O'Connor,318.0,318.0,0.0,True,0.0,Arts And Photography,32.0,80,9780061873263,English,"['Arts And Photography', 'Kids And Teens']","['Picture Books', 'Childrens']","Being green is important to Nancy—so important that she wants her family to take care of the Earth morning, noon, and night!",https://booksmandala.com/books/fancy-nancy-every-day-is-earth-day-35039
The Movie Book,Dk Publishing,2078.0,2078.0,0.0,True,0.0,Arts And Photography,352.0,1200,9780241562949,English,"['Arts And Photography', 'History Biography And Social Science']","['Art', 'Photography and Filmmaking', 'History']","Learn about the visual and performing arts in The Movie Book. Part of the fascinating Big Ideas series, this book tackles tricky topics and themes in a simple and easy to follow format. Learn about Movies in this overview guide to the subject, brilliant for beginners looking to learn and experts wishing to refresh their knowledge alike! The Movie Book brings a fresh and vibrant take on the topic through eye-catching graphics and diagrams to immerse yourself in. This captivating book will broaden your understanding of Movies, with: - More than 100 of the best movies ever made worldwide - Packed with facts, charts, timelines and graphs to help explain core concepts - A visual approach to big subjects with striking illustrations and graphics throughout - Easy to follow text makes topics accessible for people at any level of understanding The Movie Book is the perfect introduction to the rich history of cinema like never before - from the golden age of black-and-white films to international art-house and 21st-century sci-fi, aimed at adults with an interest in the subject and students wanting to gain more of an overview. Here you'll discover more than 100 of the best movies ever made, uncovering the key themes and big ideas behind the world's most celebrated cinematic gems. Your Movie Questions, Simply Explained This book brings cinema to life with iconic quotes and film stills, posters, biographies of directors, actors, and actresses, along with narrative timelines and images exploring key themes. If you thought it was difficult to learn about the best cinematic masterpieces, The Movie Book presents key information in an easy to follow layout. Learn everything about your favourite movies, as well as celebrated classics and the films to watch before you die, through iconic quotes and stills, posters, biographies, memorabilia and narrative timelines, through superb mind maps and step-by-step summaries. The Big Ideas Series With millions of copies sold worldwide, The Movie Book is part of the award-winning Big Ideas series from DK. The series uses striking graphics along with engaging writing, making big topics easy to understand.",https://booksmandala.com/books/the-movie-book-50284
Design as Art,Bruno Munari,958.0,958.0,0.0,True,0.0,Arts And Photography,224.0,140,9780141035819,English,"['Arts And Photography', 'Spirituality And Philosophy']","['Design', 'Art', 'Philosophy']","How do we see the world around us? The Penguin on Design series includes the works of creative thinkers whose writings on art, design and the media have changed our vision forever. Bruno Munari was among the most inspirational designers of all time, described by Picasso as �the new Leonardo�. Munari insisted that design be beautiful, functional and accessible, and this enlightening and highly entertaining book sets out his ideas about visual, graphic and industrial design and the role it plays in the objects we use everyday. Lamps, road signs, typography, posters, children�s books, advertising, cars and chairs � these are just some of the subjects to which he turns his illuminating gaze.",https://booksmandala.com/books/design-as-art-36475
