Title,Author,Price,Rating,Limited Stock,Discount,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,Synopsis,URL
Peppa pig Copy Colour Bhag-3,Dream Kids Words,Rs. 200,N/A,N/A,N/A,Arts And Photography,24 Pages,110g,9789389385328,English,"Arts and Photography:, Kids and Teens:, Kids and Teens:, Arts and Photography:, Kids and Teens:, Kids and Teens:","A description of this book has not been provided by the author/publisher. However, Peppa pig Copy Colour Bhag-3 is available for purchase at Books Mandala.",https://booksmandala.com/books/peppa-pig-copy-colour-bhag-3-18527
Wreck this Journal,Keri Smith,Rs. 1118,N/A,N/A,N/A,Arts And Photography,224 Pages,225g,9780141976143,English,"Self Improvement and Relationships:, Lifestyle and Wellness:, Arts and Photography:, Self Improvement and Relationships:, Lifestyle and Wellness:, Arts and Photography:","For anyone who's ever wished to, but had trouble starting, keeping, or finishing a journal or sketchbook comes 'Wreck This Journal', an illustrated book featuring a subversive collection of suggestions, asking readers to muster up their best mistake - and mess-making abilities to fill the pages of the book. Through a series of quirkily illustrated prompts, Keri Smith encourages journallers to engage in 'destructive' acts - poking holes through pages, adding photos and defacing them, painting with coffee, colouring outside the lines, and more - in order to experience the true creative process.",https://booksmandala.com/books/wreck-this-journal-6937
Hooked: How to Build Habit-Forming Products,Nir Eyal and,Rs. 1118,N/A,Only 8 item left in stock!,N/A,Arts And Photography,242 Pages,340g,9780241184837,English,"Business and Investing:, Arts and Photography:, History, Biography, and Social Science:, Business and Investing:, Arts and Photography:, History, Biography, and Social Science:","How do successful companies create products people can't put down? Why do some products capture widespread attention while others flop? What makes us engage with certain things out of sheer habit? Is there an underlying pattern to how technologies hook us? Nir Eyal answers these questions (and many more) with the Hook Model - a four-step process that, when embedded into products, subtly encourages customer behaviour. Through consecutive 'hook cycles,' these products bring people back again and again without depending on costly advertising or aggressive messaging. Hookedis based on Eyal's years of research, consulting, and practical experience. He wrote the book he wished had been available to him as a start-up founder - not abstract theory, but a how-to guide for building better products. Hookedis written for product managers, designers, marketers, start-up founders, and anyone who seeks to understand how products influence our behaviour. Eyal provides readers with practical insights to create user habits that stick; actionable steps for building products people love; and riveting examples from the iPhone to Twitter, Pinterest to the Bible App. 'The most high bandwidth, high octane, and valuable presentation I have ever seen on this subject.' Rory Sutherland, Vice-Chairman, Ogilvy & Mather 'The book everyone in Silicon Valley is talking about.' Boris Veldhuijzen van Zanten, founder of The Next Web 'Hookedgives you the blueprint for the next generation of products. Read Hooked or the company that replaces you will.' Matt Mullenweg, founder of Wordpress 'You'll read this. Then you'll hope your competition isn't reading this. It's that good.' Stephen Anderson, Author of Seductive Interaction Design'An essential crib street for any start-up looking to understand user psychology.' Dave McClure, founder of 500 Starups",https://booksmandala.com/books/hooked-how-to-build-habit-forming-products-32065
A complete book of Singing Bowls,Frank Perry,Rs. 1118,N/A,N/A,N/A,Arts And Photography,492 Pages,650g,9788183631204,English,"Arts and Photography:, Lifestyle and Wellness:, Arts and Photography:, Lifestyle and Wellness:","This is simply the widest study of the sacred instruments of the Tibetan region ever, covering singing bowls, dribu (the Tibetan hand bell) and ting-sha (small paired cymbals). Its author is uniquely qualified, having begun his lifelong association with the bowls back in 1971, when they first started to appear in the west. He has also made no less than 105 recordings, most of them featuring bowls. Frank thus offers forty year of closeness to singing bowls and their sounds in a form that will appeal to everyone their sound touches - whether those people approach them from a musical perspective, as sacred sound, or as instruments in sound healing. Those people approach them from a musical perspective, as sacred sound, or as instruments in sound healing. Covered in this book are no less than 250 different styles of bowl and the techniques that can be employed in drawing musical and consciousness - raising sound from them. Frank discusses basic information about how to choose the right bowl, the wands and mallets to use for each type, and continues into the yoga of sound (nada), mantra, and also the relation of different bowls to the zodiac, the planets and the chakras. He separates these from concert instruments by a detailed analysis of all their fundamentals and partials and illustrates these with the cymatic photography of john Stuart Reid, never before applied to bowl sounds. He has many personal stories to tell. Frank writes eloquently of the awareness and integrity required of the bowl user, his relation to the ancient Bonpo priests, to Tibetan Buddhism and Vedic wisdom. He also writes as a percussionist of note and as a student of esoteric wisdom, as at home with the writings of Madame Blavatsky and Alice Bailey as with Nicholas Roerich, Mikhail Aivanhov and white eagle. Above all his own meditation practice, and his aural super sensitivity, give the reader the richest encounter they likely to get with the most iconic statement of the individual consciousness - the sound of the bowl.",https://booksmandala.com/books/a-complete-book-of-singing-bowls-26532
The Jungle Book,Miriam Bos,Rs. 760,N/A,Only 1 item left in stock!,N/A,Arts And Photography,11 Pages,305g,9781509808366,English,"Arts and Photography:, Kids and Teens:, Arts and Photography:, Kids and Teens:","A first novelty board book about The Jungle Book, with push, pull and slide mechanisms.The wild adventures of Mowgli in Rudyard Kipling's The Jungle Book are well-loved, timeless tales of growing up and finding a place in the world. First Stories: The Jungle Book is a perfect introduction for young children to this classic story and its host of animal characters. Push, pull and slide mechanisms to bring the story to life and see favourite scenes in action. Mowgli, Baloo, Bagheera and of course the fearsome tiger Shere Khan are all beautifully imagined by Miriam Bos in her bold, appealing illustrations.",https://booksmandala.com/books/the-jungle-book-12891
The Tattoo Sourcebook,Andy Sloss and,Rs. 798,N/A,N/A,N/A,Arts And Photography,255 Pages,520g,9781592239573,English,"Arts and Photography:, Arts and Photography:","Riding a wave of popularity these days, tattoos have been around for thousands of years. Evidence exists that in ancient Egypt, women were ritually tattooed, Roman slaves were marked with the words ""tax paid,"" and cultures around the globe from Maori warriors, Tahitian emperors and Inca elite to criminals, circus folks and the urbane hipster all sport body art in the form of the tattoo.* Approaching the fascinating world of tattoo art from the perspective of design, The Tattoo Sourcebook offers basic instruction on designing a tattoo and hundreds of images to help you choose one that's right for you.* This stylish reference includes 500 traditional and modern tattoos from tribal, Asian, Aboriginal ta moko and intricate Celtic knot work through dragons, mermaids, fairies and fantasy to motifs from the natural world.* Each chapter offers many ideas on a wide cross-section of themes. The artwork is designed to let you create your own images or trace and enlarge one from the book.* Along with health and safety tips for getting a tattoo, there is also information for creating designs using body paints and mehndi for those who want to try out body art before choosing a permanent image.* From eBay to the hit TLC reality show Miami Ink, tattoos have never been more popular!",https://booksmandala.com/books/the-tattoo-sourcebook-46529
Extreme rock and ice 25 of the worlds great climbs,Garth Hattingh,Rs. 650,N/A,N/A,N/A,Arts And Photography,N/A,250g,9780898867879,English,"Arts and Photography:, Arts and Photography:","With evocative words and heart-stopping photographs, Extreme Rock & Ice showcases 25 of the greatest extreme climbs of the past quarter century.",https://booksmandala.com/books/extreme-rock-and-ice-25-of-the-worlds-great-climbs-44432
The Wonderful Things You Will Be,Emily Winfield Martin,Rs. 798,N/A,Only 2 item left in stock!,N/A,Arts And Photography,32 Pages,460g,9780241446959,English,"Kids and Teens:, Arts and Photography:, Kids and Teens:, Arts and Photography:","""This is the first time / There's ever been you, / So I wonder what wonderful things / You will do."" In this timeless poem about growing up, Emily Windfield Martin explores all the things you can choose to be, from brave and bold to creative and wise. Filled with beautiful, quirky illustrations and clever rhyme, grown-ups will love reading this book to their children at any age as they lovingly consider all the possibilities that lie ahead. Its enduring message of love and acceptance as children grow and change is both universal and poignant, and it one to share over and over again.",https://booksmandala.com/books/the-wonderful-things-you-will-be-50978
Creative Confidence,Tom Kelley,Rs. 720,N/A,Only 1 item left in stock!,N/A,Arts And Photography,288 Pages,280g,9780007592517,English,"Arts and Photography:, Business and Investing:, Self Improvement and Relationships:, Arts and Photography:, Business and Investing:, Self Improvement and Relationships:","Too often, companies and individuals assume that creativity and innovation are the domain of the ""creative types."" But two of the foremost experts in innovation, design and creativity on the planet show us that each and every one of us is creative. In an incredibly entertaining and inspiring narrtiave that draws on countless stories from their work at IDEO and with many of the world's top companies and design firms, David and Tom Kelley identify the principles and strategies that will allow us to tap into our creative potential in our work lives, and in our personal lives, allow us to think outside the box in terms of how we approach and solve problems. It is a book that will help each of us be more productive and successful in our lives and in our careers.",https://booksmandala.com/books/creative-confidence-43088
Dolpo people and landscape,Gerda Pauler,Rs. 1917,N/A,N/A,N/A,Arts And Photography,128 Pages,405g,9781898573968,English,"Arts and Photography:, Arts and Photography:","Writers, film directors, scientists and tourists have all described Dolpoas a 'last paradise', the land of the snow leopard, full of myths and magic; a home to untouched nature and unspoilt Buddhist and Bon culture.One of the most remote mountain regions in the world, Dolpo is among the least-developed rural regions of Nepal. A culturally Tibetan region in the upper Dolpa district of north-western Nepal, Dolpo lies along the border with Tibet (China) and has been closed to foreigners for decades. A breathtaking backdrop of snow-capped peaks, rugged ridges and barren, brown-grey mountains contrasts with the green irrigated pastureland in the region's glaciated valleys. Sitting in the rain shadow of the Dhaulagiri massif, Dolpo receives very little annual rainfall, and its agriculture depends on irrigation. Largely ignored by the government,the people of Dolpo have developed a self-sufficient lifestyle thatinvolves hard work, daily risk taking and a constant fight for survival. In Dolpo: People and Landscape, Gerda Pauler explores the individuals, communities and culture that makes Dolpo one of the most fascinating regions of the Himalaya. Interviews with Dolpo's inhabitants, meticulous research and stunning photography make this book a must-read for anyone with an interest in Central Asia and Nepal.",https://booksmandala.com/books/dolpo-people-and-landscape-32379
Mustang the culture and landscape of lo,Michael Beck,Rs. 4000,N/A,N/A,N/A,Arts And Photography,287 Pages,1140g,9789937623179,English,"Arts and Photography:, Arts and Photography:","About the Author. Michael Beck, Born in 1966, is a German architect and photographer, living in switzerland. Travelling through territories with Tibetan culture for many times since 1997, he visited Central-, Western-, and Eastern - Tibet, Ladakh, Zanskar, Lahaul, Spiti, Kinnaur and Mustang.",https://booksmandala.com/books/mustang-the-culture-and-landscape-of-lo-17401
Coloring Mandalas 1,Susanne F. Fincher,Rs. 640,N/A,N/A,N/A,Arts And Photography,22 Pages,500g,9781570625831,English,"Arts and Photography:, Arts and Photography:, Kids and Teens:, Arts and Photography:, Arts and Photography:, Kids and Teens:","""Drawing the traditional circular designs known as mandalas is a meditative practice, a healing exercise in times of crisis, and a pleasurable act of creativity. As a symbol of the Self, the mandala provides a connection to our innermost being. The forty-eight drawings presented here for coloring include designs inspired by forms of nature, Native American and Tibetan sand paintings, Hindu yantras, Turkish mosaics, the illuminations of Hildegarde of Bingen, and the art of M.C. Escher. These mandalas are organized according to the Great Round of Mandala, a scheme of twelve archetypal stages that represents a complete cycle of personal growth. Thus, to do the coloring book from start to finish will carry the reader through a balanced experience of change, guided by the accompanying text.""",https://booksmandala.com/books/coloring-mandalas-1-3711
Panoramas from the Nepal Himalaya,Manjri Shakya,Rs. 1995,N/A,N/A,N/A,Arts And Photography,144 Pages,720g,9789937918688,English,"Arts and Photography:, Nepali:, Arts and Photography:, Nepali:","A description of this book has not been provided by the author/publisher. However, Panoramas from the Nepal Himalaya is available for purchase at Books Mandala.",https://booksmandala.com/books/panoramas-from-the-nepal-himalaya-31406
Home Body,Rupi Kaur,Rs. 798,N/A,Only 6 item left in stock!,N/A,Arts And Photography,188 Pages,180g,9781471196720,English,"Arts and Photography:, Fiction and Literature:, Self Improvement and Relationships:, Arts and Photography:, Fiction and Literature:, Self Improvement and Relationships:","Rupi Kaur constantly embraces growth, and in home body, she walks readers through a reflective and intimate journey visiting the past, the present, and the potential of the self. home body is a collection of raw, honest conversations with oneself – reminding readers to fill up on love, acceptance, community, family, and embrace change. Illustrated by the author, themes of nature and nurture, light and dark, rest here. i dive into the well of my body and end up in another world everything i need already exists in me there’s no need to look anywhere else – home",https://booksmandala.com/books/home-body-36259
Solimo Mandala Colouring Book for Adults 1,Unassigned,Rs. 398,N/A,N/A,N/A,Arts And Photography,64 Pages,360g,9789388416672,English,"Arts and Photography:, Arts and Photography:","A description of this book has not been provided by the author/publisher. However, Solimo Mandala Colouring Book for Adults 1 is available for purchase at Books Mandala.",https://booksmandala.com/books/solimo-mandala-colouring-book-for-adults-1-11619
Singing Bowls,Eva Rudy Jansen,Rs. 392,N/A,N/A,N/A,Arts And Photography,108 Pages,200g,9788178221038,English,"Arts and Photography:, Lifestyle and Wellness:, Arts and Photography:, Lifestyle and Wellness:","What is a singing bowl? It is one of the ritual objects of Tibetan. It has therapeutic value as well. This book imparts information on the use of sound in meditation, healing and prayer and secretes of singing bowls by Tibetan monks. This book explains the Himalayan bowls ã also known as Tibetan or Nepalese singing bowls ãand the special sounds they make, called sound massage. The author discusses the meeting between East and West, singing bowls, sacrificial dishes, how the bowls work, synchronization and inner massage, shamanism and brainwaves, and practical instruction for working with these sounds. It does provide practical information about using them as well as showing you how to go about finding the bowl that is right for you. The mysteries explained here are a wonderful overview if you want to open your heart and mind to the therapeutic value to this phenomenon.",https://booksmandala.com/books/singing-bowls-26535
The Storyteller,Dave Grohl,Rs. 1278,N/A,Only 8 item left in stock!,N/A,Arts And Photography,376 Pages,660g,9781398503700,English,"Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:, Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:","Having entertained the idea for years, and even offered a few questionable opportunities (""It's a piece of cake! Just do 4 hours of interviews, find someone else to write it, put your face on the cover, and voila!"") I have decided to write these stories just as I have always done, in my own hand. The joy that I have felt from chronicling these tales is not unlike listening back to a song that I've recorded and can't wait to share with the world, or reading a primitive journal entry from a stained notebook, or even hearing my voice bounce between the Kiss posters on my wall as a child. This certainly doesn't mean that I'm quitting my day job, but it does give me a place to shed a little light on what it's like to be a kid from Springfield, Virginia, walking through life while living out the crazy dreams I had as young musician. From hitting the road with Scream at 18 years old, to my time in Nirvana and the Foo Fighters, jamming with Iggy Pop or playing at the Academy Awards or dancing with AC/DC and the Preservation Hall Jazz Band, drumming for Tom Petty or meeting Sir Paul McCartney at Royal Albert Hall, bedtime stories with Joan Jett or a chance meeting with Little Richard, to flying halfway around the world for one epic night with my daughters…the list goes on. I look forward to focusing the lens through which I see these memories a little sharper for you with much excitement.",https://booksmandala.com/books/the-storyteller-45931
Mandala Colouring Book,Unassigned,Rs. 300,N/A,Only 3 item left in stock!,N/A,Arts And Photography,N/A,250g,9788177696479,English,"Arts and Photography:, Arts and Photography:","A description of this book has not been provided by the author/publisher. However, Mandala Colouring Book is available for purchase at Books Mandala.",https://booksmandala.com/books/mandala-colouring-book-6573
Design as Art,Bruno Munari,Rs. 958,N/A,Only 7 item left in stock!,N/A,Arts And Photography,224 Pages,140g,9780141035819,English,"Arts and Photography:, Arts and Photography:, Spirituality and Philosophy:, Arts and Photography:, Arts and Photography:, Spirituality and Philosophy:","How do we see the world around us? The Penguin on Design series includes the works of creative thinkers whose writings on art, design and the media have changed our vision forever. Bruno Munari was among the most inspirational designers of all time, described by Picasso as �the new Leonardo�. Munari insisted that design be beautiful, functional and accessible, and this enlightening and highly entertaining book sets out his ideas about visual, graphic and industrial design and the role it plays in the objects we use everyday. Lamps, road signs, typography, posters, children�s books, advertising, cars and chairs � these are just some of the subjects to which he turns his illuminating gaze.",https://booksmandala.com/books/design-as-art-36475
Coloring Mandalas 4,Susanne F. Fincher,Rs. 640,N/A,N/A,N/A,Arts And Photography,104 Pages,415g,9781590309032,English,"Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:","Mandalas are circular designs containing lines, patterns, and colors that have been used in personal devotions throughout history and often symbolize a desire to mark or set aside a special time or place. Coloring mandalas is a creative activity that can help us feel connected to ourselves and to the world. In her latest collection of mandalas for coloring, Susanne Fincher focuses on using mandalas as a way to claim our own truths and to find our way in the world. The original designs she presents are associated with being and doing. The “being” mandalas represent a sense of balance, integration, and self-realization. They can be reminiscent of the designs of heraldic shields carried as the emblem of personal power. The “doing” mandalas represent action, energy, and functioning in the world. These mandalas are associated with creativity, ingenuity, teamwork, and productivity. Coloring the mandalas in this book allows you to interact with forms that evoke both steady, centered being, and active, skillful doing.Coloring Mandalas 4 provides a creative and insightful path toward self-knowledge.",https://booksmandala.com/books/coloring-mandalas-4-3708
Buddhist Mandalas Coloring Book,Lisa Tenzin Dolma,Rs. 958,N/A,N/A,N/A,Arts And Photography,72 Pages,290g,9781780285993,English,"Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:","The Buddhist Mandalas coloringbook combines Buddhist-style meditation with the power of mandalas. This means you can channel the power of contemplation with your creativity. The Buddhist Mandalas coloring book combines Buddhist-style meditation with the power of mandalas. While mandalas are traditionally considered to be highly complex maps of the cosmos, the beautiful examples included in this book are designed to be suitable for today's Western practitioner, incorporating the most accessible and relevant Buddhist symbols and imagery. With 32 brilliant Mandalas rendered as line illustrations, the act of colouring and contemplating these harmonious images is a powerful way to engage in visually based meditation. A directory of Buddhist symbols, with colour images, completes the book.",https://booksmandala.com/books/buddhist-mandalas-coloring-book-3836
The Design of Everyday Things,Don Norman,Rs. 1438,N/A,N/A,N/A,Arts And Photography,368 Pages,390g,9780465050659,English,"Business and Investing:, Business and Investing:","Even the smartest among us can feel inept as we fail to figure out which light switch or oven burner to turn on, or whether to push, pull, or slide a door. The fault, argues this ingenious—even liberating—book, lies not in ourselves, but in product design that ignores the needs of users and the principles of cognitive psychology. The problems range from ambiguous and hidden controls to arbitrary relationships between controls and functions, coupled with a lack of feedback or other assistance and unreasonable demands on memorization. The Design of Everyday Things shows that good, usable design is possible. The rules are simple: make things visible, exploit natural relationships that couple function and control, and make intelligent use of constraints. The goal: guide the user effortlessly to the right action on the right control at the right time.In this entertaining and insightful analysis, cognitive scientist Don Norman hails excellence of design as the most important key to regaining the competitive edge in influencing consumer behavior. Now fully expanded and updated, with a new introduction by the author, The Design of Everyday Things is a powerful primer on how—and why—some products satisfy customers while others only frustrate them.",https://booksmandala.com/books/the-design-of-everyday-things-3955
