Title,Author,Price,Rating,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,URL
Nepal Un Recorrido En Imagenes,Dinesh. Shrestha,Rs. 1150,N/A,Arts And Photography,128 Pages,690g,9789993347538,French,"Arts and Photography:, Arts and Photography:, Nepali:, Arts and Photography:, Arts and Photography:, Nepali:",https://booksmandala.com/books/nepal-un-recorrido-en-imagenes-9000
Naked,Nick Hornby,Rs. 638,N/A,Arts And Photography,248 Pages,160g,9780241969922,English,"Arts and Photography:, Fiction and Literature:, Fiction and Literature:, Arts and Photography:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/naked-23522
Tabby Mctat,Julia Donaldson,Rs. 632,N/A,Arts And Photography,32 Pages,205g,9781407170701,English,"Arts and Photography:, Nature:, Arts and Photography:, Nature:",https://booksmandala.com/books/tabby-mctat-32990
Tales from the river tsangpo TIBET,Unassigned,Rs. 2900,N/A,Arts And Photography,239 Pages,2000g,b2611,English,"Arts and Photography:, Miscellaneous:, Arts and Photography:, Miscellaneous:",https://booksmandala.com/books/tales-from-the-river-tsangpo-tibet-44349
Javanese Antique Furniture and Folk Art,Bruce W. Carpenter,Rs. 3701,N/A,Arts And Photography,312 Pages,2360g,9789814217767,English,"Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/javanese-antique-furniture-and-folk-art-44343
Everest the struggle to reach the top of the world,Geoff Tibballs,Rs. 1600,N/A,Arts And Photography,96 Pages,645g,9781858686042,English,"Arts and Photography:, Travel:, Arts and Photography:, Travel:",https://booksmandala.com/books/everest-the-struggle-to-reach-the-top-of-the-world-35290
delhi agra jaipur,Gopi Gajwani,Rs. 2200,N/A,Arts And Photography,144 Pages,1580g,b1117,English,"Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/delhi-agra-jaipur-44368
Tibetan Portrait: The Power of Compassion,Phil Borges,Rs. 1264,N/A,Arts And Photography,1264 Pages,730g,9788170262237,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/tibetan-portrait-the-power-of-compassion-36947
Tibetan Art,Lokesh Chandra,Rs. 3992,N/A,Arts And Photography,216 Pages,1700g,9788189738303,English,"Arts and Photography:, Arts and Photography:, Religion:, Arts and Photography:, Arts and Photography:, Religion:",https://booksmandala.com/books/tibetan-art-18163
Power Places of Kathmandu,Kevin Bubriski,Rs. 1800,N/A,Arts And Photography,130 Pages,1345g,9780500541937,English,"Arts and Photography:, Arts and Photography:, Religion:, Arts and Photography:, Arts and Photography:, Religion:",https://booksmandala.com/books/power-places-of-kathmandu-44383
The Hidden Himalayas,Unassigned,Rs. 2400,N/A,Arts And Photography,188 Pages,1770g,b2619,English,"Arts and Photography:, Travel:, Travel:, Arts and Photography:, Travel:, Travel:",https://booksmandala.com/books/the-hidden-himalayas-44377
Mandala - manuel pratiqe,Anneke Huyser,Rs. 1450,N/A,Arts And Photography,105 Pages,310g,9789074597777,English,"Arts and Photography:, Religion:, Arts and Photography:, Religion:",https://booksmandala.com/books/mandala-manuel-pratiqe-48296
Tibet's Hidden Wilderness,George B. Schaller,Rs. 1000,N/A,Arts And Photography,168 Pages,1350g,9780810938939,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/tibets-hidden-wilderness-35270
The Rough Guide to Jimi Hendrix,Richie Unterberger,Rs. 1440,N/A,Arts And Photography,264 Pages,380g,9781848360020,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/the-rough-guide-to-jimi-hendrix-38778
The Mystery Over Lord Buddha's Roots,Mitsuaki Kojima,Rs. 792,N/A,Arts And Photography,165 Pages,315g,9788182500563,English,"Arts and Photography:, History, Biography, and Social Science:, Religion:, Arts and Photography:, History, Biography, and Social Science:, Religion:",https://booksmandala.com/books/the-mystery-over-lord-buddhas-roots-29237
Marc Ellis - Crossing the Line,Marc Ellis and ,Rs. 1000,N/A,Arts And Photography,215 Pages,990g,9781869710743,English,"Arts and Photography:, History, Biography, and Social Science:, Arts and Photography:, History, Biography, and Social Science:",https://booksmandala.com/books/marc-ellis-crossing-the-line-10867
Himalayas,Marco Majrani,Rs. 1200,N/A,Arts And Photography,134 Pages,1490g,b2616,English,"Arts and Photography:, Travel:, Travel:, Arts and Photography:, Travel:, Travel:",https://booksmandala.com/books/himalayas-44363
Kundalini Colouring Book,Unassigned,Rs. 300,N/A,Arts And Photography,N/A,360g,9788177696509,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/kundalini-colouring-book-43700
OBAMA the historic presidency og,Mark Greenberg,Rs. 2238,N/A,Arts And Photography,208 Pages,1330g,9781454926399,English,"Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:, Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/obama-the-historic-presidency-og-42997
First Under Heaven the art of Asia,Jill Tilden,Rs. 3692,N/A,Arts And Photography,223 Pages,1730g,9781898113355,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/first-under-heaven-the-art-of-asia-35264
"Work, Dogs, Work",Sarah Albee,Rs. 240,N/A,Arts And Photography,32 Pages,80g,9780062357083,English,"Arts and Photography:, Nature:, Arts and Photography:, Nature:",https://booksmandala.com/books/work-dogs-work-34857
The End of Alchemy,Mervyn King,Rs. 958,N/A,Business And Investing,430 Pages,390g,9780349140674,English,"Business and Investing:, Business and Investing:, History, Biography, and Social Science:, Business and Investing:, Business and Investing:, History, Biography, and Social Science:",https://booksmandala.com/books/the-end-of-alchemy-27686
Beyond the 80/20 Principle,Richard Koch,Rs. 1118,N/A,Business And Investing,336 Pages,300g,9781529331448,English,"Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:",https://booksmandala.com/books/beyond-the-8020-principle-45877
The Billionaire's Apprentice,Anita Raghavan,Rs. 799,N/A,Business And Investing,491 Pages,385g,9789350097366,English,"Business and Investing:, Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/the-billionaires-apprentice-39769
How to work a room,Susan Roane,Rs. 798,N/A,Business And Investing,370 Pages,360g,9780062356871,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/how-to-work-a-room-17038
release 2.1,Esther Dyson,Rs. 700,N/A,Business And Investing,370 Pages,285g,9780140266627,English,"Business and Investing:, Business and Investing:",https://booksmandala.com/books/release-21-39843
Leadership Fame and Self-actualization,Harish Shivdasani,Rs. 478,N/A,Business And Investing,130 Pages,182g,9788188569571,English,"Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:",https://booksmandala.com/books/leadership-fame-and-self-actualization-33356
Insane Mode,Hamish Mckenzie,Rs. 1278,N/A,Business And Investing,294 Pages,330g,9780571327669,English,"Business and Investing:, Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/insane-mode-4461
Master Your Money: Master Your Life,Abhishek Kumar,Rs. 472,N/A,Business And Investing,261 Pages,290g,9788183285308,English,"Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:",https://booksmandala.com/books/master-your-money-master-your-life-4661
Living the 7 Habits,Tephen R . Covey,Rs. 741,N/A,Business And Investing,288 Pages,460g,9780743209069,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/living-the-7-habits-39857
Done,Jacques Peretti,Rs. 880,N/A,Business And Investing,288 Pages,505g,9781473646407,English,"Business and Investing:, Business and Investing:, History, Biography, and Social Science:, Business and Investing:, Business and Investing:, History, Biography, and Social Science:",https://booksmandala.com/books/done-45545
Count your chickens before they hatch,Arindam Chaudhari,Rs. 360,N/A,Business And Investing,192 Pages,340g,b1771,English,"Business and Investing:, Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/count-your-chickens-before-they-hatch-48691
Top Performance,Zig Ziglar,Rs. 400,N/A,Business And Investing,231 Pages,305g,9789385492556,English,"Business and Investing:, Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/top-performance-4562
Iacocca,William Novak and ,Rs. 478,N/A,Business And Investing,365 Pages,215g,9780553251470,English,"Business and Investing:, History, Biography, and Social Science:, Business and Investing:, History, Biography, and Social Science:",https://booksmandala.com/books/iacocca-1161
Become: The 5 Critical Conversational Practices that Shift 'Who You Be' as a Leader,Sameer Dua,Rs. 638,N/A,Business And Investing,305 Pages,300g,9789352773671,English,"Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:",https://booksmandala.com/books/become-the-5-critical-conversational-practices-that-shift-who-you-be-as-a-leader-18129
back to work,Bill Clinton,Rs. 850,N/A,Business And Investing,196 Pages,250g,9780091944148,English,"Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:, Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/back-to-work-39939
the seven secrets of influence,Elaina Zuker,Rs. 638,N/A,Business And Investing,259 Pages,300g,9780143064657,English,"Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/the-seven-secrets-of-influence-39845
Six Thinking Hats,Edward De Bono,Rs. 638,N/A,Business And Investing,177 Pages,155g,9780141033051,English,"Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:, Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/six-thinking-hats-37567
365 Quotes on Money Management,Vineet Matth,Rs. 798,N/A,Business And Investing,365 Pages,210g,9789355431875,English,"Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:",https://booksmandala.com/books/365-quotes-on-money-management-12811
THE LEXUS AND THE OLIVE TREE,Thomas L.Friedman,Rs. 572,N/A,Business And Investing,N/A,255g,9780385720151,English,"Business and Investing:, Business and Investing:",https://booksmandala.com/books/the-lexus-and-the-olive-tree-614
In the Plex,Steven Levy,Rs. 1272,N/A,Business And Investing,432 Pages,670g,9781416596585,English,"Business and Investing:, History, Biography, and Social Science:, History, Biography, and Social Science:, Business and Investing:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/in-the-plex-40911
The Four Tendencies,Gretchen Rubin,Rs. 638,N/A,Business And Investing,258 Pages,210g,9781473676442,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/the-four-tendencies-29117
THE CURVEBALL,Colby Sharma,Rs. 478,N/A,Business And Investing,176 Pages,180g,9789390166909,English,"Business and Investing, Learning and Reference, Business and Investing, Learning and Reference",https://booksmandala.com/books/the-curveball-49985
Rise of the Youpreneur,Chris Ducker,Rs. 638,N/A,Business And Investing,268 Pages,260g,9789388423465,English,"Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/rise-of-the-youpreneur-35548
Becoming a Hairstylist,Kate Bolick,Rs. 638,N/A,Business And Investing,144 Pages,210g,9781982115906,English,"Business and Investing:, Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/becoming-a-hairstylist-40918
Flawed Prophets,Tirthak Saha,Rs. 558,N/A,Business And Investing,194 Pages,244g,9789391537371,English,"Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:",https://booksmandala.com/books/flawed-prophets-33372
The Real-Life MBA,Suzy Welch and ,Rs. 958,N/A,Business And Investing,288 Pages,430g,9780008137908,English,"Business and Investing:, Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/the-real-life-mba-29166
The Deficit Myth,Stephanie Kelton,Rs. 1276,N/A,Business And Investing,325 Pages,395g,9781529352535,English,"Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:",https://booksmandala.com/books/the-deficit-myth-36326
In search of European excellence,Robert Heller,Rs. 472,N/A,Business And Investing,276 Pages,340g,9781861975287,English,"Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/in-search-of-european-excellence-23802
the return of the master,Robert Skidelsky,Rs. 880,N/A,Business And Investing,213 Pages,390g,9781846142581,English,"Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:, Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/the-return-of-the-master-45280
The Multi-Hyphen Method,Emma Gannon,Rs. 638,N/A,Business And Investing,280 Pages,210g,9781473694750,English,"Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/the-multi-hyphen-method-29329
Giant Steps,Anthony Robbins,Rs. 450,N/A,Business And Investing,416 Pages,300g,9780671891046,English,"Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:, Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/giant-steps-6048
Test Gods,Nicholas Schmidle,Rs. 1278,N/A,Business And Investing,352 Pages,365g,9781786331861,English,"Business and Investing:, Learning and Reference:, Business and Investing:, Learning and Reference:",https://booksmandala.com/books/test-gods-40601
Habits of a Millionaire Mind,Steven Schuster,Rs. 478,N/A,Business And Investing,158 Pages,148g,9789389305616,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/habits-of-a-millionaire-mind-12847
Fun @ work formula,Joel Comm,Rs. 560,N/A,Business And Investing,200 Pages,235g,9789387944695,English,"Business and Investing:, Business and Investing:",https://booksmandala.com/books/fun-at-work-formula-3721
Smarter Than You Think,Clive Thompson,Rs. 638,N/A,Business And Investing,343 Pages,260g,9780007427796,English,"Business and Investing:, History, Biography, and Social Science:, Technology:, Business and Investing:, History, Biography, and Social Science:, Technology:",https://booksmandala.com/books/smarter-than-you-think-31282
Go kiss the world,Subroto Bagchi,Rs. 478,N/A,Business And Investing,239 Pages,200g,9780143429548,English,"Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:, Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/go-kiss-the-world-49303
Think like a champion,Donald J. Trump,Rs. 1438,N/A,Business And Investing,224 Pages,250g,9781593155711,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/think-like-a-champion-35409
Vinegar Into Honey,Ron Leifer,Rs. 960,N/A,Business And Investing,143 Pages,205g,9781559392938,English,"Business and Investing:, Business and Investing:",https://booksmandala.com/books/vinegar-into-honey-10711
21 Success Sutras for CEOs,M. S. Rao,Rs. 478,N/A,Business And Investing,189 Pages,205g,9789387944367,English,"Business and Investing:, Business and Investing:",https://booksmandala.com/books/21-success-sutras-for-ceos-3731
The Secret Millionaire Blueprint,Arfeen Khan,Rs. 632,N/A,Business And Investing,176 Pages,279g,9789383202935,English,"Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/the-secret-millionaire-blueprint-24130
A Heart so wild,Johanna Lindsey,Rs. 413,N/A,Fiction And Literature,358 Pages,195g,9780380750849,English,"Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/a-heart-so-wild-35211
The Everest Years,Chris Bonington,Rs. 1011,N/A,Fiction And Literature,230 Pages,410g,9780297842736,English,"Fiction and Literature:, Lifestyle and Wellness:, Travel:, Fiction and Literature:, Lifestyle and Wellness:, Travel:",https://booksmandala.com/books/the-everest-years-25657
The Rule of Four,Dustin Thomason and ,Rs. 400,N/A,Fiction And Literature,527 Pages,295g,9780099451952,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-rule-of-four-23788
Night Passage,Robert B. Parker,Rs. 450,N/A,Fiction And Literature,336 Pages,205g,9781842431597,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/night-passage-24141
Lu Xun,Rambabu Subedi (Rajeeb),Rs. 240,N/A,Fiction And Literature,66 Pages,120g,9789937916950,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/lu-xun-35357
Raksha the Mirror Demon,Adam Blade,Rs. 478,N/A,Fiction And Literature,192 Pages,210g,9781408313237,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/raksha-the-mirror-demon-38247
Forever Odd,Dean Koontz,Rs. 250,N/A,Fiction And Literature,419 Pages,236g,9780007851874,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/forever-odd-19200
The Delegates' Choice,Ian Sansom,Rs. 472,N/A,Fiction And Literature,240 Pages,230g,9780007255344,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-delegates-choice-48788
Resurrectionist,James Mcgee,Rs. 632,N/A,Fiction And Literature,554 Pages,390g,9780007212712,English,"Fiction and Literature:, Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/resurrectionist-24754
"Lucy blue, where are you? and hippy chick 2 in 1",Louise Harwood,Rs. 478,N/A,Fiction And Literature,357 Pages,355g,9780330507936,English,"Fiction and Literature, Fiction and Literature",https://booksmandala.com/books/lucy-blue-where-are-you-and-hippy-chick-2-in-1-23725
Omnibus a season for the dead and the villa of mysteries,David Hewson,Rs. 478,N/A,Fiction And Literature,501 Pages,500g,9780330507950,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/omnibus-a-season-for-the-dead-and-the-villa-of-mysteries-45135
Red Flowers,Donald Thomas,Rs. 385,N/A,Fiction And Literature,338 Pages,190g,9780330392525,English,"Fiction and Literature, Fiction and Literature",https://booksmandala.com/books/red-flowers-9757
The Battlemage (Summoner #3),Taran Matharu,Rs. 638,N/A,Fiction And Literature,438 Pages,355g,9781444924268,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-battlemage-summoner-3-31269
BREAK NECK,John Francome,Rs. 250,N/A,Fiction And Literature,377 Pages,215g,9780747247043,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/break-neck-22491
The Complete Father Brown Stories,G.K. Chesterton,Rs. 312,N/A,Fiction And Literature,411 Pages,520g,9781853260032,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-complete-father-brown-stories-39032
Ticket to Minto,Sohrab Homi Fracis,Rs. 400,N/A,Fiction And Literature,214 Pages,270g,9788187981206,English,"Fiction and Literature, Travel, Fiction and Literature, Travel",https://booksmandala.com/books/ticket-to-minto-23775
Alentejo Blue,Monica Ali,Rs. 454,N/A,Fiction And Literature,301 Pages,200g,9780552155472,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/alentejo-blue-26676
"A twist in the tale,As the cro",Jeffrey Archer,Rs. 478,N/A,Fiction And Literature,735 Pages,475g,9780330457750,English,"Fiction and Literature, Fiction and Literature",https://booksmandala.com/books/a-twist-in-the-taleas-the-cro-26677
The Phantom Tollbooth,Norton Juster,Rs. 478,N/A,Fiction And Literature,255 Pages,215g,9780007451890,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-phantom-tollbooth-43028
Ten Big Ones,Janet Evanovich,Rs. 400,N/A,Fiction And Literature,374 Pages,215g,9780755326990,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/ten-big-ones-23787
Divergent Series Four-Book Collection Box Set,Veronica Roth,Rs. 2878,N/A,Fiction And Literature,2080 Pages,1903g,9780008507985,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/divergent-series-four-book-collection-box-set-8205
Lark Rise to Candleford,Flora Thompson,Rs. 250,N/A,Fiction And Literature,537 Pages,390g,9780141037196,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/lark-rise-to-candleford-9542
Our Cousin Rosanna,Sheila Newberry,Rs. 250,N/A,Fiction And Literature,400 Pages,325g,9781785761607,English,"Fiction and Literature, Fiction and Literature",https://booksmandala.com/books/our-cousin-rosanna-20879
For You Only,Himanshu Joshi,Rs. 144,N/A,Fiction And Literature,160 Pages,200g,9788120719026,English,"Fiction and Literature, Fiction and Literature",https://booksmandala.com/books/for-you-only-23780
The Mermaid's Purse,Ted Hughes,Rs. 588,N/A,Fiction And Literature,46 Pages,130g,9780571196210,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-mermaids-purse-6648
Rise of the Elgen (Michael Vey #2),Richard Paul Evans,Rs. 638,N/A,Fiction And Literature,334 Pages,350g,9781442475106,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/rise-of-the-elgen-michael-vey-2-8850
The Take,Martina Cole,Rs. 250,N/A,Fiction And Literature,661 Pages,365g,9780747267676,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-take-19278
The secret of life,Paul Mcauley,Rs. 500,N/A,Fiction And Literature,518 Pages,285g,9780006513308,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-secret-of-life-23472
Rumble in the jungle,Ranjit Lal,Rs. 472,N/A,Fiction And Literature,207 Pages,160g,9789352756360,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/rumble-in-the-jungle-16942
Black Light,Stephen Hunter,Rs. 450,N/A,Fiction And Literature,461 Pages,320g,9780099517917,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/black-light-48809
nancy Drew Identity Revealed,Aladdin,Rs. 312,N/A,Fiction And Literature,208 Pages,175g,9781416968283,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/nancy-drew-identity-revealed-37986
Snake Head,Peter Mayle,Rs. 250,N/A,Fiction And Literature,400 Pages,300g,9781786487827,English,"Fiction and Literature, Fiction and Literature",https://booksmandala.com/books/snake-head-31458
